"id","label","pleiades"
1,"Aalen","NULL"
2,"Abergavenny","NULL"
3,"Aislingen","118549"
4,"Albertfalva","197100"
5,"Alcester","NULL"
6,"Ardoch","NULL"
7,"Arnsburg","NULL"
8,"Arras","109194"
9,"Aulnay-de-Saintonge","NULL"
10,"Bad Cannstatt","118980"
11,"Bad Nauheim","NULL"
12,"Bad Wimpfen","119024"
13,"Baden-Baden","108748"
14,"Bagendon","NULL"
15,"Baginton","NULL"
16,"Bainbridge","89317"
17,"Balmuildy","NULL"
18,"Bar Hill","NULL"
19,"Barburgh Mill","NULL"
20,"Barochan Hill","NULL"
21,"Bearsden","NULL"
22,"Bendorf","108804"
23,"Benwell","NULL"
24,"Berlingen","NULL"
25,"Bewcastle","NULL"
26,"Binchester","79420"
27,"Birdoswald","89109"
28,"Birrens","89117"
29,"Bishopton","NULL"
30,"Böbingen","NULL"
31,"Bothwellhaugh","NULL"
32,"Bowes","NULL"
33,"Bowness-on-Solway","NULL"
34,"Brecon","79389"
35,"Bregenz","187325"
36,"Broomholm","NULL"
37,"Brough-on-Humber","79639"
38,"Brough-under-Stainmore","NULL"
39,"Brougham","NULL"
40,"Buch","NULL"
41,"Budapest","197130"
42,"Burghöfe","118986"
43,"Burladingen","118618"
44,"Butzbach","108839"
45,"Cadder","NULL"
46,"Caerhûn","79542"
47,"Caerleon","79532"
48,"Caernarfon","NULL"
49,"Caersws","NULL"
50,"Caerwent","79733"
51,"Camelon","89148"
52,"Camulodunum","79393"
53,"Cap de Creus","NULL"
54,"Cap Drammont","NULL"
55,"Cappuck","NULL"
56,"Cardean","NULL"
57,"Cardiff","79706"
58,"Carlisle","89234"
59,"Carmarthen","79602"
60,"Carnuntum","197287"
61,"Carrawburgh","79553"
62,"Carriden","NULL"
63,"Carvoran","NULL"
64,"Carzield","NULL"
65,"Castell Collen","79378"
66,"Castlecary","NULL"
67,"Castledykes","NULL"
68,"Castleford","79553"
69,"Castleshaw","NULL"
70,"Catterick","89143"
71,"Catterick North","89143"
72,"Charterhouse-on-Mendip","NULL"
73,"Chelmsford","NULL"
74,"Chester","79420"
75,"Chester-le-Street","89146"
76,"Chesterfield","NULL"
77,"Chesterholm-Vindolanda","89313"
78,"Chesters","89144"
79,"Cirencester","79549"
80,"Colchester","79393"
81,"Corbridge","89152"
82,"Cramond","NULL"
83,"Dol-y-Gaer","NULL"
84,"Doncaster","NULL"
85,"Donnstetten","NULL"
86,"Dormagen","NULL"
87,"Duntocher","NULL"
88,"Ebchester","NULL"
89,"Echzell","118657"
90,"Eining","NULL"
91,"Elginhaugh","NULL"
92,"Elslack","NULL"
93,"Eschenz","NULL"
94,"Faimingen","NULL"
95,"Falkirk","NULL"
96,"Feldberg","NULL"
97,"Fishbourne","NULL"
98,"Fishbourne","79466"
99,"Friedberg","118681"
100,"Gauting","NULL"
101,"Geislingen","118690"
102,"Gloucester","NULL"
103,"Gnotzheim","NULL"
104,"Gomadingen","NULL"
105,"Great Casterton","NULL"
106,"Great Chesters","89095"
107,"Greta Bridge","NULL"
108,"Günzburg","118716"
109,"Hadrian Wall General","89144"
110,"Haltern","NULL"
111,"Haltonchesters","NULL"
112,"Hanau-Salisberg","NULL"
113,"Handbridge","NULL"
114,"Hardknott","NULL"
115,"Haselburg","NULL"
116,"Hayton","NULL"
117,"Heddernheim","109205"
118,"Heddesdorf","NULL"
119,"Heidelberg","NULL"
120,"Heidenheim","118569"
121,"Heilbronn-Böckingen","NULL"
122,"Heldenbergen","118873"
123,"Helsoven","NULL"
124,"Heronbridge","NULL"
125,"Hesselbach","NULL"
126,"Hod Hill","NULL"
127,"Hofheim","NULL"
128,"Holt","79340"
129,"Holzhausen","NULL"
130,"Housesteads","NULL"
131,"Hüfingen","187326"
132,"Ilkley","NULL"
133,"Inchtuthil","89206"
134,"Inveravon","NULL"
135,"Inveresk","NULL"
136,"Iža","NULL"
137,"Jagsthausen","NULL"
138,"Kapersburg","NULL"
139,"Kempten","NULL"
140,"Komárom","197180"
141,"Köngen","118706"
142,"Kösching","118697"
143,"Künzing","118919"
144,"La Graufesenque","246410"
145,"Ladenburg","118813"
146,"Langenhain","109100"
147,"Lincoln","79395"
148,"Little Chester","79419"
149,"London","NULL"
150,"London","79574"
151,"Lorch","NULL"
152,"Loudoun Hill","NULL"
153,"Loughor","NULL"
154,"Mainhardt","NULL"
155,"Malton","NULL"
156,"Manchester","NULL"
157,"Marköbel","NULL"
158,"Miltenberg","NULL"
159,"Mumrills","NULL"
160,"Munningen","118815"
161,"Murrhardt","NULL"
162,"Narbonne","246347"
163,"Neckarburken","NULL"
164,"Nether Denton","NULL"
165,"Neuss","108818"
166,"Newcastle","NULL"
167,"Newcastle","89275"
168,"Newstead","89304"
169,"Niederbieber","NULL"
170,"Nijmegen","98921"
171,"Northwich","79400"
172,"Oberflorstadt","118887"
173,"Oberstimm","NULL"
174,"Oberwinterthur","NULL"
175,"Öhringen","NULL"
176,"Okarben","118777"
177,"Old Carlisle","NULL"
178,"Old Kilpatrick","NULL"
179,"Old Penrith","89318"
180,"Osijek","1973891"
181,"Osterburken","NULL"
182,"Papcastle","NULL"
183,"Pen Llystyn","NULL"
184,"Penydarren","NULL"
185,"Pforzheim","NULL"
186,"Pfünz","119020"
187,"Piercebridge","NULL"
188,"Pompeii","433032"
189,"Pudding Pan Rock","NULL"
190,"Regensburg","NULL"
191,"Rheingönheim","NULL"
192,"Ribchester","79352"
193,"Rinschheim","NULL"
194,"Rißtissen","118933"
195,"Roecliffe","NULL"
196,"Rottenburg am Neckar","118985"
197,"Rottweil","118572"
198,"Rough Castle","NULL"
199,"Rougham","NULL"
200,"Saalburg","109297"
201,"Schirenhof","NULL"
202,"South Shields","89104"
203,"Southwark","NULL"
204,"Stamford Bridge","NULL"
205,"Stanwix","89234"
206,"Stockstadt","118976"
207,"Strageath","89293"
208,"Straubing","118968"
209,"Sulz","NULL"
210,"Tác","197287"
211,"Templeborough","NULL"
212,"Theilenhofen","NULL"
213,"Topsham","NULL"
214,"Torre Annunziata","NULL"
215,"Trier","108894"
216,"Unknown","NULL"
217,"Unknown","NULL"
218,"Unknown","NULL"
219,"Urspring","NULL"
220,"Valkenburg","99021"
221,"Vaspuszta","NULL"
222,"Velsen","99058"
223,"Verulamium","79739"
224,"Waddon Hill","NULL"
225,"Walheim","119042"
226,"Walldürn","NULL"
227,"Wallsend","NULL"
228,"Watercrook","89102"
229,"Weissenburg","NULL"
230,"Welzheim","NULL"
231,"Wiesbaden","108750"
232,"Wilderspool","79763"
233,"Wimborne","NULL"
234,"Wössingen","NULL"
235,"Wroxeter","NULL"
236,"York","89175"
237,"Zalalövő","197482"
238,"Zugmantel","NULL"
239,"Zurzach","NULL"
240,"Zwammerdam","NULL"
